"payment_date","payment_amount","status"
"2025-12-17","19639.11","Ожидает оплаты"
"2026-01-16","19639.11","Ожидает оплаты"
"2026-02-15","19639.11","Ожидает оплаты"
"2026-03-17","19639.11","Ожидает оплаты"
"2026-04-16","19639.11","Ожидает оплаты"
"2026-05-16","19639.11","Ожидает оплаты"
"2026-06-15","19639.11","Ожидает оплаты"
"2026-07-15","19639.11","Ожидает оплаты"
"2026-08-14","19639.11","Ожидает оплаты"
"2026-09-13","19639.11","Ожидает оплаты"
"2026-10-13","19639.11","Ожидает оплаты"
"2026-11-12","19639.11","Ожидает оплаты"
"2026-12-12","19639.11","Ожидает оплаты"
"2027-01-11","19639.11","Ожидает оплаты"
